x[m],y[m],z[m],pump_fraction,gi[rad/s],u_norm
2.282024033708864377e-04,-1.457856355021464479e-03,-5.927801263593254549e-04,9.312309571486616921e-02,6.507262807221218245e+05,9.892917901745846843e-01
-1.428226134110100517e-03,2.295821780777979569e-03,4.232371430203845844e-05,1.139490612780600862e-02,6.412531104185782606e+05,9.748898367175623525e-01
3.237886619918783042e-05,6.796029240281912728e-04,-9.370122159079660729e-04,1.171422950734184315e-01,6.412491307489334140e+05,9.748837864709012369e-01
-4.743729041296289978e-04,1.254814996678798667e-03,7.929222531533439318e-04,1.562238908362101608e-01,6.441388510121426079e+05,9.792769954390736498e-01
-1.007607318717032574e-03,-3.003093229568913874e-04,2.592133899230680632e-04,1.562238908362101608e-01,6.482954274420164293e+05,9.855961914806783408e-01
3.670075010072440243e-04,4.873385857280013948e-04,7.600644828154676930e-04,1.171422950734184315e-01,6.458147605696945684e+05,9.818248617470417550e-01
5.146957032456417509e-04,4.881913905938506273e-04,6.315255768084129589e-04,1.171422950734184315e-01,6.481278884607248474e+05,9.853414838660695674e-01
-4.572751874544249634e-04,4.210610695670398179e-04,2.732075148675334564e-04,1.171422950734184315e-01,6.546681404639963293e+05,9.952845548687180299e-01
5.897193970999380520e-04,2.561643500128561812e-06,6.828565885599954680e-04,1.171422950734184315e-01,6.462005139874733286e+05,9.824113182965096280e-01
-2.670615372355603155e-04,-1.597732907358239958e-04,1.341015526254446413e-04,1.171422950734184315e-01,6.568518251871389803e+05,9.986043860065312305e-01
4.654230640230140148e-05,-1.448728583865815326e-03,-4.635463082559741961e-04,1.562238908362101608e-01,6.536983396682757884e+05,9.938101777093285571e-01
-7.691172628972396111e-04,4.271008604846601698e-04,-7.164604893586208265e-04,1.646657906352593237e-01,6.433750389447816415e+05,9.781157806090258200e-01
1.109140939476973642e-03,2.964478303100109347e-04,-3.137223763410579291e-04,1.562238908362101608e-01,6.459823212563568959e+05,9.820796023600797398e-01
-1.861614619468441754e-03,7.825207134155892814e-04,-1.753820692452076483e-03,3.458924839059183270e-02,5.750347283371316735e+05,8.742187808642130076e-01
-6.401683602346069696e-05,-1.919694622044681445e-04,1.278196119994268317e-03,1.171422950734184315e-01,6.271225742023822386e+05,9.534073426435033527e-01
4.865837235328939847e-04,1.219268531930563964e-03,-1.199847187767223190e-03,1.562238908362101608e-01,6.289258415034541395e+05,9.561488294856531622e-01
-1.423426582285829568e-03,-3.132506133348520339e-04,-5.364769479815825336e-05,9.312309571486616921e-02,6.413432307419148274e+05,9.750268456238352366e-01
